"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1350 0.139380 0.139380 79.619380 79.619380
1353 0.136319 0.136319 79.616319 79.616319
1354 0.127233 0.127233 79.607233 79.607233
1364 0.119849 0.119849 79.599849 79.599849
1366 0.117906 0.117906 79.597906 79.597906
1378 0.116426 0.116426 79.596426 79.596426
1380 0.110401 0.110401 79.590401 79.590401
1389 0.108181 0.108181 79.588181 79.588181
1391 0.101659 0.101659 79.581659 79.581659
1395 0.100555 0.100555 79.580555 79.580555
1396 0.093434 0.093434 79.573434 79.573434
1406 0.084574 0.084574 79.564574 79.564574
1421 0.082551 0.082551 79.562551 79.562551
1422 0.071314 0.071314 79.551314 79.551314
1431 0.070380 0.070380 79.550380 79.550380
1441 0.067647 0.067647 79.547647 79.547647
1446 0.062019 0.062019 79.542019 79.542019
1451 0.061879 0.061879 79.541879 79.541879
1462 0.059513 0.059513 79.539513 79.539513
1465 0.059119 0.059119 79.539119 79.539119
1469 0.056707 0.056707 79.536707 79.536707
1470 0.054757 0.054757 79.534757 79.534757
1473 0.054547 0.054547 79.534547 79.534547
1485 0.051576 0.051576 79.531576 79.531576
1493 0.048236 0.048236 79.528236 79.528236
1499 0.044286 0.044286 79.524286 79.524286
1503 0.041882 0.041882 79.521882 79.521882
1505 0.041739 0.041739 79.521739 79.521739
1506 0.038988 0.038988 79.518988 79.518988
1508 0.033605 0.033605 79.513605 79.513605
1522 0.032160 0.032160 79.512160 79.512160
1524 0.031078 0.031078 79.511078 79.511078
1527 0.030439 0.030439 79.510439 79.510439
1530 0.028171 0.028171 79.508171 79.508171
1535 0.027556 0.027556 79.507556 79.507556
1541 0.027047 0.027047 79.507047 79.507047
1549 0.024787 0.024787 79.504787 79.504787
1550 0.023374 0.023374 79.503374 79.503374
1554 0.019118 0.019118 79.499118 79.499118
1563 0.016042 0.016042 79.496042 79.496042
1571 0.014253 0.014253 79.494253 79.494253
1582 0.013908 0.013908 79.493908 79.493908
1586 0.012894 0.012894 79.492894 79.492894
1588 0.011966 0.011966 79.491966 79.491966
1594 0.011955 0.011955 79.491955 79.491955
1595 0.010905 0.010905 79.490905 79.490905
1599 0.010042 0.010042 79.490042 79.490042
1602 0.009897 0.009897 79.489897 79.489897
1606 0.008325 0.008325 79.488325 79.488325
1615 0.007814 0.007814 79.487814 79.487814
1624 0.006767 0.006767 79.486767 79.486767
1627 0.005222 0.005222 79.485222 79.485222
1646 0.003274 0.003274 79.483274 79.483274
1661 0.002921 0.002921 79.482921 79.482921
1663 0.002549 0.002549 79.482549 79.482549
1685 0.002478 0.002478 79.482478 79.482478
1688 0.002205 0.002205 79.482205 79.482205
1691 0.002088 0.002088 79.482088 79.482088
1697 0.002023 0.002023 79.482023 79.482023
1701 0.001633 0.001633 79.481633 79.481633
1703 0.001451 0.001451 79.481451 79.481451
1707 0.001303 0.001303 79.481303 79.481303
1721 0.001035 0.001035 79.481035 79.481035
1723 0.000930 0.000930 79.480930 79.480930
1734 0.000774 0.000774 79.480774 79.480774
1743 0.000438 0.000438 79.480438 79.480438
1765 0.000355 0.000355 79.480355 79.480355
1767 0.000199 0.000199 79.480199 79.480199
1773 0.000064 0.000064 79.480064 79.480064
1826 0.000049 0.000049 79.480049 79.480049
1830 0.000041 0.000041 79.480041 79.480041
1883 0.000036 0.000036 79.480036 79.480036
1939 0.000028 0.000028 79.480028 79.480028
1992 0.000015 0.000015 79.480015 79.480015
2025 0.000014 0.000014 79.480014 79.480014
2039 0.000013 0.000013 79.480013 79.480013
2094 0.000007 0.000007 79.480007 79.480007
2447 0.000004 0.000004 79.480004 79.480004
2542 0.000004 0.000004 79.480004 79.480004
2613 0.000003 0.000003 79.480003 79.480003
2661 0.000003 0.000003 79.480003 79.480003
2679 0.000001 0.000001 79.480001 79.480001
2746 0.000001 0.000001 79.480001 79.480001
2987 0.000001 0.000001 79.480001 79.480001
3006 0.000000 0.000000 79.480000 79.480000
3063 0.000000 0.000000 79.480000 79.480000
3272 0.000000 0.000000 79.480000 79.480000
3514 0.000000 0.000000 79.480000 79.480000
3557 0.000000 0.000000 79.480000 79.480000
3666 0.000000 0.000000 79.480000 79.480000
3792 0.000000 0.000000 79.480000 79.480000
3912 0.000000 0.000000 79.480000 79.480000
4232 0.000000 0.000000 79.480000 79.480000
4271 0.000000 0.000000 79.480000 79.480000
4280 0.000000 0.000000 79.480000 79.480000
