"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 98493.576709 98493.576709 98283.696709 98283.696709
50000 4030722.697435 98493.576709 4030512.817435 98283.696709
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 155246.354871 155246.354871 155036.474871 155036.474871
10 95515.353797 95515.353797 95305.473797 95305.473797
50000 95515.353797 95515.353797 95305.473797 95305.473797
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1008167.650499 1008167.650499 1007957.770499 1007957.770499
8 342432.520921 342432.520921 342222.640921 342222.640921
50000 13151073.580722 342432.520921 13150863.700722 342222.640921
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 759377.210847 759377.210847 759167.330847 759167.330847
7 107465.314310 107465.314310 107255.434310 107255.434310
50000 1362588.093621 107465.314310 1362378.213621 107255.434310
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 8869943.320260 8869943.320260 8869733.440260 8869733.440260
3 7719046.907978 7719046.907978 7718837.027978 7718837.027978
6 7492784.466230 7492784.466230 7492574.586230 7492574.586230
7 1907989.880356 1907989.880356 1907780.000356 1907780.000356
8 1406212.498792 1406212.498792 1406002.618792 1406002.618792
9 761738.523851 761738.523851 761528.643851 761528.643851
50000 10360658.235295 761738.523851 10360448.355295 761528.643851
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 155878.974761 155878.974761 155786.884761 155786.884761
50000 186874.676361 155878.974761 186782.586361 155786.884761
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1153747.085457 1153747.085457 1153654.995457 1153654.995457
4 99977.905456 99977.905456 99885.815456 99885.815456
50000 10847742.276703 99977.905456 10847650.186703 99885.815456
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1304424.095152 1304424.095152 1304332.005152 1304332.005152
4 819947.075504 819947.075504 819854.985504 819854.985504
50000 3957905.914728 819947.075504 3957813.824728 819854.985504
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 10640463.441465 10640463.441465 10640371.351465 10640371.351465
4 8842824.617796 8842824.617796 8842732.527796 8842732.527796
6 3361725.614264 3361725.614264 3361633.524264 3361633.524264
7 57577.782867 57577.782867 57485.692867 57485.692867
50000 14624786.427279 57577.782867 14624694.337279 57485.692867
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1444343.381798 1444343.381798 1444251.291798 1444251.291798
3 558130.185959 558130.185959 558038.095959 558038.095959
7 132341.700237 132341.700237 132249.610237 132249.610237
50000 22492767.627674 132341.700237 22492675.537674 132249.610237
