"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1737 70.663863 70.663863 -391.426137 -391.426137
1897 70.650372 70.650372 -391.439628 -391.439628
2233 70.646577 70.646577 -391.443423 -391.443423
2243 70.646243 70.646243 -391.443757 -391.443757
2376 70.643816 70.643816 -391.446184 -391.446184
2477 70.643794 70.643794 -391.446206 -391.446206
2513 70.642187 70.642187 -391.447813 -391.447813
2818 70.641619 70.641619 -391.448381 -391.448381
2957 70.641526 70.641526 -391.448474 -391.448474
3239 70.641418 70.641418 -391.448582 -391.448582
3436 70.641405 70.641405 -391.448595 -391.448595
3531 70.641380 70.641380 -391.448620 -391.448620
3574 70.641380 70.641380 -391.448620 -391.448620
3587 70.641314 70.641314 -391.448686 -391.448686
3804 70.641308 70.641308 -391.448692 -391.448692
3907 70.641302 70.641302 -391.448698 -391.448698
4079 70.641280 70.641280 -391.448720 -391.448720
4442 70.641280 70.641280 -391.448720 -391.448720
4474 70.641276 70.641276 -391.448724 -391.448724
4800 70.641276 70.641276 -391.448724 -391.448724
5400 70.641276 70.641276 -391.448724 -391.448724
5451 70.641276 70.641276 -391.448724 -391.448724
5481 70.641276 70.641276 -391.448724 -391.448724
5512 70.641275 70.641275 -391.448725 -391.448725
5646 70.641275 70.641275 -391.448725 -391.448725
5730 70.641275 70.641275 -391.448725 -391.448725
6037 70.641275 70.641275 -391.448725 -391.448725
6073 70.641275 70.641275 -391.448725 -391.448725
6277 70.641275 70.641275 -391.448725 -391.448725
6376 70.641275 70.641275 -391.448725 -391.448725
6519 70.641275 70.641275 -391.448725 -391.448725
6571 70.641275 70.641275 -391.448725 -391.448725
6595 70.641275 70.641275 -391.448725 -391.448725
6831 70.641275 70.641275 -391.448725 -391.448725
6900 70.641275 70.641275 -391.448725 -391.448725
7044 70.641275 70.641275 -391.448725 -391.448725
7072 70.641275 70.641275 -391.448725 -391.448725
7152 70.641275 70.641275 -391.448725 -391.448725
7356 70.641275 70.641275 -391.448725 -391.448725
7384 70.641275 70.641275 -391.448725 -391.448725
7771 70.641275 70.641275 -391.448725 -391.448725
8172 70.641275 70.641275 -391.448725 -391.448725
8243 70.641275 70.641275 -391.448725 -391.448725
8343 70.641275 70.641275 -391.448725 -391.448725
8473 70.641275 70.641275 -391.448725 -391.448725
8516 70.641275 70.641275 -391.448725 -391.448725
8545 70.641275 70.641275 -391.448725 -391.448725
8648 70.641275 70.641275 -391.448725 -391.448725
8715 70.641275 70.641275 -391.448725 -391.448725
8809 70.641275 70.641275 -391.448725 -391.448725
8890 70.641275 70.641275 -391.448725 -391.448725
8907 70.641275 70.641275 -391.448725 -391.448725
8935 70.641275 70.641275 -391.448725 -391.448725
8970 70.641275 70.641275 -391.448725 -391.448725
9012 70.641275 70.641275 -391.448725 -391.448725
9101 70.641275 70.641275 -391.448725 -391.448725
9164 70.641275 70.641275 -391.448725 -391.448725
9218 70.641275 70.641275 -391.448725 -391.448725
9283 70.641275 70.641275 -391.448725 -391.448725
9307 70.641275 70.641275 -391.448725 -391.448725
9443 70.641275 70.641275 -391.448725 -391.448725
9717 70.641275 70.641275 -391.448725 -391.448725
10101 70.641275 70.641275 -391.448725 -391.448725
10138 70.641275 70.641275 -391.448725 -391.448725
10639 70.641275 70.641275 -391.448725 -391.448725
50000 70.641275 70.641275 -391.448725 -391.448725
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1531.806237 1531.806237 1069.716237 1069.716237
2 592.593609 592.593609 130.503609 130.503609
3 515.804504 515.804504 53.714504 53.714504
5 404.795450 404.795450 -57.294550 -57.294550
8 317.436195 317.436195 -144.653805 -144.653805
